Group,Title,New,Sold,Link
home,Groninger - růžičková kapusta,Yes,,https://permaseminka.cz/home/175-groninger-ruzickova-kapusta.html
home,Slaměnka,Yes,,https://permaseminka.cz/home/174-slamenka.html
tyckova-rajcata,Resibella,Yes,,https://permaseminka.cz/tyckova-rajcata/173-resibella.html
publikace-a-knihy,Lesní zahrady v praxi,,,https://permaseminka.cz/publikace-a-knihy/172-lesni-zahrady-v-praxi.html
listova-zelenina,Polníček - Large Leaved,,,https://permaseminka.cz/listova-zelenina/171-polnicek-large-leaved.html
jedle-trvalky,"Cibule poschoďová, Pinkava",,Yes,https://permaseminka.cz/jedle-trvalky/170-cibule-poschodova-pinkava.html
publikace-a-knihy,Zahradničení bez rytí,,Yes,https://permaseminka.cz/publikace-a-knihy/168-zahradniceni-bez-ryti.html
salaty,Saba,,,https://permaseminka.cz/salaty/167-saba.html
rajcata,Striped Stuffer,,Yes,https://permaseminka.cz/rajcata/166-striped-stuffer.html
dyne-a-cukety,Green Hokkaido (Zelené hokaido),,,https://permaseminka.cz/dyne-a-cukety/165-green-hokkaido-zelene-hokaido.html
porek,Freezo,,,https://permaseminka.cz/porek/164-freezo.html
fazole,Urania,,Yes,https://permaseminka.cz/fazole/163-urania.html
salaty,Zlatý rekord,,,https://permaseminka.cz/salaty/162-zlaty-rekord.html
bylinky,Saturejka horská,,Yes,https://permaseminka.cz/bylinky/161-saturejka-horska.html
tyckova-rajcata,Red Cherry,,,https://permaseminka.cz/tyckova-rajcata/160-red-cherry.html
jedle-trvalky,Černý kořen - Libochovický,,Yes,https://permaseminka.cz/jedle-trvalky/159-cerny-koren-libochovicky.html
dyne-a-cukety,Serafina,,Yes,https://permaseminka.cz/dyne-a-cukety/158-serafina.html
jedle-trvalky,Zvonek broskvolistý,,,https://permaseminka.cz/jedle-trvalky/157-zvonek-broskvolisty.html
papriky-a-chilli,Lamia,,Yes,https://permaseminka.cz/papriky-a-chilli/156-lamia.html
pazitka,Staro,,,https://permaseminka.cz/pazitka/155-staro.html
celer,Maxim,,Yes,https://permaseminka.cz/celer/154-maxim.html
tyckova-rajcata,Roma Striee,,,https://permaseminka.cz/tyckova-rajcata/153-roma-striee.html
tyckova-rajcata,Donatellina,,,https://permaseminka.cz/tyckova-rajcata/152-donatellina.html
tyckova-rajcata,Auriga,,,https://permaseminka.cz/tyckova-rajcata/151-auriga.html
hrach,Oregon Giant,,,https://permaseminka.cz/hrach/150-oregon-giant.html
tyckova-rajcata,Ruthje,,,https://permaseminka.cz/tyckova-rajcata/149-ruthje.html
kukurice,Damaun,,,https://permaseminka.cz/kukurice/148-damaun.html
tyckova-rajcata,Goldiana,,,https://permaseminka.cz/tyckova-rajcata/147-goldiana.html
tyckova-rajcata,Goldkrone,,,https://permaseminka.cz/tyckova-rajcata/146-goldkrone.html
cibule,Všetana,,,https://permaseminka.cz/cibule/145-vsetana.html
kerickova-rajcata,Rio Grande,,,https://permaseminka.cz/kerickova-rajcata/144-rio-grande.html
bazalka,Envigor,,Yes,https://permaseminka.cz/bazalka/143-envigor.html
tyckova-rajcata,Rosa,,,https://permaseminka.cz/tyckova-rajcata/142-rosa.html
tyckova-rajcata,Summer Cider,,,https://permaseminka.cz/tyckova-rajcata/141-summer-cider.html
dyne-a-cukety,Zuboda,,,https://permaseminka.cz/dyne-a-cukety/140-zuboda.html
papriky-a-chilli,Calipso,,,https://permaseminka.cz/papriky-a-chilli/139-calipso.html
divoka-rajcata,Koralik,,,https://permaseminka.cz/divoka-rajcata/138-koralik.html
fazole,Elektra,,,https://permaseminka.cz/fazole/137-elektra.html
tyckova-rajcata,Tica,,,https://permaseminka.cz/tyckova-rajcata/136-tica.html
mrkev,Višňovská,,,https://permaseminka.cz/mrkev/135-visnovska.html
mrkev,Stupická k rychlení,,,https://permaseminka.cz/mrkev/134-stupicka-k-rychleni.html
melouny,Crimson Sweet,,,https://permaseminka.cz/melouny/133-crimson-sweet.html
balkonova-rajcata,Red Robin,,,https://permaseminka.cz/balkonova-rajcata/132-red-robin.html
tyckova-rajcata,Ildi,,,https://permaseminka.cz/tyckova-rajcata/131-ildi.html
tyckova-rajcata,Berner Rose,,,https://permaseminka.cz/tyckova-rajcata/130-berner-rose.html
jedle-trvalky,Zvonek Karpatský,,,https://permaseminka.cz/jedle-trvalky/129-zvonek-karpatsky.html
jedle-trvalky,Jahodník obecný,,,https://permaseminka.cz/jedle-trvalky/128-jahodnik-obecny.html
jedle-trvalky,Česnek ořešec,,,https://permaseminka.cz/jedle-trvalky/127-cesnek-oresec.html
jedle-trvalky,Barborka obecná,,,https://permaseminka.cz/jedle-trvalky/125-barborka-obecna.html
listova-zelenina,Burgundský amarant,,,https://permaseminka.cz/listova-zelenina/124-amarant-burgundy.html
mangold,Fordhook Giant - mangold řapíkatý,,,https://permaseminka.cz/mangold/123-fordhook-giant-mangold-rapikaty.html
rajcata,Primavera,,,https://permaseminka.cz/rajcata/122-primavera.html
